Instance,Lambda,V,K,M*,OPT,Sec
CapEuclideo.100.150.9.2,9,100,150,59,7342,5032
CapEuclideo.100.150.9.3,9,100,150,60,6962,170
CapEuclideo.100.150.9.4,9,100,150,70,7960,1137
CapEuclideo.100.150.9.5,9,100,150,67,7766,1126
CapEuclideo.100.150.95.1,95,100,150,41,4436,18502
CapEuclideo.100.150.95.2,95,100,150,44,4409,10831
CapEuclideo.100.150.95.3,95,100,150,43,4068,18174
CapEuclideo.100.150.95.4,95,100,150,47,4762,18340
CapEuclideo.100.150.95.5,95,100,150,43,4663,18108
CapEuclideo.100.150.99.1,99,100,150,19,1978,472
CapEuclideo.100.150.99.2,99,100,150,19,2212,1791
CapEuclideo.100.150.99.3,99,100,150,24,2122,589
CapEuclideo.100.150.99.4,99,100,150,19,2336,246
CapEuclideo.100.150.99.5,99,100,150,15,2468,343
CapEuclideo.100.200.1.1,1,100,200,100,339322,40
CapEuclideo.100.200.1.2,1,100,200,100,328970,24
CapEuclideo.100.200.1.3,1,100,200,100,320623,22
CapEuclideo.100.200.1.4,1,100,200,100,331657,21
CapEuclideo.100.200.1.5,1,100,200,100,311129,15
CapEuclideo.100.200.5.1,5,100,200,100,105300,36
CapEuclideo.100.200.5.2,5,100,200,100,101942,19
CapEuclideo.100.200.5.3,5,100,200,100,97956,22
CapEuclideo.100.200.5.4,5,100,200,100,102405,24
CapEuclideo.100.200.5.5,5,100,200,100,95206,13
CapEuclideo.100.200.7.1,7,100,200,100,40403,42
CapEuclideo.100.200.7.2,7,100,200,100,38937,21
CapEuclideo.100.200.7.3,7,100,200,100,37685,23
CapEuclideo.100.200.7.4,7,100,200,100,39483,20
CapEuclideo.100.200.7.5,7,100,200,100,36897,14
CapEuclideo.100.200.8.1,8,100,200,99,20659,43
CapEuclideo.100.200.8.2,8,100,200,100,19918,26
CapEuclideo.100.200.8.3,8,100,200,98,19273,24
CapEuclideo.100.200.8.4,8,100,200,88,19898,31
CapEuclideo.100.200.8.5,8,100,200,99,19521,24
CapEuclideo.100.200.9.1,9,100,200,74,8544,1975
